country_code,country_name,source_indicator_code,source_indicator_name,date,value,source_organization,source_dataset,source_url,retrieved_at,last_updated,status,data_version
US,United States,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",2019,1.46696501417689,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/BX.KLT.DINV.WD.GD.ZS?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",2018,1.03945408799819,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/BX.KLT.DINV.WD.GD.ZS?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",2017,1.94177554246862,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/BX.KLT.DINV.WD.GD.ZS?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",2016,2.52268117379751,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/BX.KLT.DINV.WD.GD.ZS?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",2015,2.79548220201356,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/BX.KLT.DINV.WD.GD.ZS?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),2025,,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/EG.USE.ELEC.KH.PC?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),2024,12839.3419088787,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/EG.USE.ELEC.KH.PC?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),2023,12553.1331301304,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/EG.USE.ELEC.KH.PC?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),2022,12968.9788423527,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/EG.USE.ELEC.KH.PC?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),2021,12556.0762291218,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/EG.USE.ELEC.KH.PC?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),2020,12393.4239035277,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/EG.USE.ELEC.KH.PC?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),2019,12678.2540503665,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/EG.USE.ELEC.KH.PC?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),2018,13054.4045353944,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/EG.USE.ELEC.KH.PC?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),2017,12604.1625559233,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/EG.USE.ELEC.KH.PC?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),2016,12806.1977101885,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/EG.USE.ELEC.KH.PC?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),2015,12828.8160828838,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/EG.USE.ELEC.KH.PC?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),2025,,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/EG.USE.PCAP.KG.OE?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),2024,6361.4447017904,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/EG.USE.PCAP.KG.OE?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),2023,6364.46726343838,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/EG.USE.PCAP.KG.OE?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
US,United States,EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),2022,6512.09816744798,World Bank,World Development Indicators,https://api.worldbank.org/v2/country/US/indicator/EG.USE.PCAP.KG.OE?format=json&per_page=20000&date=2015:2025,2026-08-17 10:34:56,2026-08-17,final,2026-08-17
