check_item,value,status
row_count,66627,info
missing_value_count,0,ok
duplicate_key_count,0,ok
missing_source_url_count,0,ok
country_count,18,info
indicator_count,64,info
source_count,8,info
frequency_count,4,info
coverage_rows,93,info
multi_source_warning_count,535,warning
outlier_count,359,warning
