indicator_code,indicator_name_zh,frequency,unit,row_count,valid_rows,valid_rate,country_count,source_count,start_date,end_date,metadata_registered
CPI_YOY_M,调和居民消费价格指数同比,M,%,2948,2948,1.0,17,4,2015-01,2026-04,True
GDP_NOMINAL_USD_A,名义GDP,A,current USD,1071,1054,0.9841,17,2,1980,2031,True
GDP_PER_CAPITA_USD_A,人均GDP,A,current USD,1071,1054,0.9841,17,2,1980,2031,True
GDP_REAL_GROWTH_YOY_A,实际GDP增速,A,%,1071,1054,0.9841,17,2,1980,2031,True
GDP_REAL_LCU_A,本币计价实际GDP,A,constant LCU,1071,1054,0.9841,17,2,1980,2031,True
GROSS_CAPITAL_FORMATION_GDP_A,资本形成总额占GDP比重,A,% of GDP,1071,1054,0.9841,17,2,1980,2031,True
GROSS_SAVINGS_GDP_A,国民总储蓄占GDP比重,A,% of GDP,1071,1054,0.9841,17,2,1980,2031,True
POPULATION_TOTAL_A,总人口,A,persons,1071,1054,0.9841,17,2,1980,2031,True
GDP_CURRENT_LCU_A,本币计价名义GDP,A,current LCU,1071,1048,0.9785,17,2,1980,2031,True
GDP_DEFLATOR_INDEX_A,GDP平减指数,A,index,1071,1047,0.9776,17,2,1980,2031,True
CPI_YOY_A,居民消费价格指数同比,A,%,1083,1041,0.9612,17,4,1980,2031,True
CURRENT_ACCOUNT_GDP_A,经常账户余额占GDP比重,A,% of GDP,1071,1037,0.9683,17,2,1980,2031,True
UNEMPLOYMENT_RATE_A,失业率,A,%,1083,957,0.8837,17,3,1980,2031,True
GOV_REVENUE_GDP_A,政府收入占GDP比重,A,% of GDP,1071,854,0.7974,17,2,1980,2031,True
GOV_NET_LENDING_GDP_A,政府净借贷占GDP比重,A,% of GDP,1071,832,0.7768,17,2,1980,2031,True
GOV_EXPENSE_GDP_A,政府支出占GDP比重,A,% of GDP,1071,828,0.7731,17,2,1980,2031,True
GOV_DEBT_GDP_A,政府债务占GDP比重,A,% of GDP,1071,748,0.6984,17,2,1980,2031,True
INTERNET_USERS_RATE_A,互联网使用率,A,% of population,187,173,0.9251,17,1,2015,2025,True
EXPORTS_USD_A,货物和服务出口,A,current USD,187,170,0.9091,17,1,2015,2024,True
FDI_NET_INFLOWS_GDP_A,外商直接投资净流入占GDP比重,A,% of GDP,187,170,0.9091,17,1,2015,2024,True
GDP_DEFLATOR_GROWTH_A,GDP平减指数增速,A,%,187,170,0.9091,17,1,2015,2024,True
