indicator_code,indicator_name_zh,frequency,unit,row_count,valid_rows,valid_rate,country_count,source_count,start_date,end_date,metadata_registered
GNI_CURRENT_USD_A,国民总收入,A,current USD,187,170,0.9091,17,1,2015,2024,True
GNI_PER_CAPITA_USD_A,人均国民总收入,A,current USD,187,170,0.9091,17,1,2015,2024,True
IMPORTS_USD_A,货物和服务进口,A,current USD,187,170,0.9091,17,1,2015,2024,True
LIFE_EXPECTANCY_A,预期寿命,A,years,187,170,0.9091,17,1,2015,2024,True
POPULATION_GROWTH_A,人口增长率,A,%,187,170,0.9091,17,1,2015,2024,True
RESERVES_USD_A,外汇储备,A,current USD,187,170,0.9091,17,1,2015,2024,True
TRADE_GDP_A,贸易开放度,A,% of GDP,187,170,0.9091,17,1,2015,2024,True
URBAN_POPULATION_RATE_A,城镇人口比重,A,% of total population,187,170,0.9091,17,1,2015,2024,True
ELECTRIC_POWER_CONSUMPTION_A,人均电力消费,A,kWh per capita,187,164,0.877,17,1,2015,2024,True
ENERGY_USE_PER_CAPITA_A,人均能源使用量,A,kg of oil equivalent per capita,187,164,0.877,17,1,2015,2024,True
MILITARY_EXPENDITURE_GDP_A,军费支出占GDP比重,A,% of GDP,187,164,0.877,17,1,2015,2024,True
DOMESTIC_CREDIT_PRIVATE_GDP_A,对私营部门国内信贷占GDP比重,A,% of GDP,187,159,0.8503,17,1,2015,2024,True
SCHOOL_ENROLLMENT_TERTIARY_A,高等教育毛入学率,A,% gross,187,158,0.8449,17,1,2015,2025,True
EXPORTS_GROWTH_A,出口实际增速,A,%,187,160,0.8556,16,1,2015,2024,True
IMPORTS_GROWTH_A,进口实际增速,A,%,187,160,0.8556,16,1,2015,2024,True
TAX_REVENUE_GDP_A,税收收入占GDP比重,A,% of GDP,187,134,0.7166,14,1,2015,2024,True
BROAD_MONEY_GDP_A,广义货币占GDP比重,A,% of GDP,187,118,0.631,13,1,2015,2024,True
EXCHANGE_RATE_USD_D,本币兑美元汇率,D,local currency per USD,35273,35273,1.0,11,2,2015-01-01,2026-06-04,True
EXCHANGE_RATE_USD_M,本币兑美元汇率,M,local currency per USD,1656,1656,1.0,11,2,2015-01,2026-06,True
EXCHANGE_RATE_USD_A,本币兑美元汇率,A,local currency per USD,144,144,1.0,11,2,2015,2026,True
PPI_YOY_M,生产者价格指数同比,M,%,137,137,1.0,2,2,2016-01,2026-05,True
INDUSTRIAL_OUTPUT_YOY_M,工业生产同比,M,%,135,135,1.0,2,2,2016-01,2026-04,True
INDUSTRIAL_OUTPUT_YOY_A,工业生产同比,A,%,12,12,1.0,2,2,2016,2026,True
PPI_YOY_A,生产者价格指数同比,A,%,12,12,1.0,2,2,2016,2026,True
EUR_USD_EXCHANGE_RATE_D,欧元兑美元参考汇率,D,USD per EUR,2923,2923,1.0,1,1,2015-01-02,2026-06-04,True
US_10Y_TREASURY_RATE_M,美国10年期国债收益率,M,%,137,137,1.0,1,1,2015-01,2026-05,True
US_2Y_TREASURY_RATE_M,美国2年期国债收益率,M,%,137,137,1.0,1,1,2015-01,2026-05,True
US_FED_FUNDS_RATE_M,美国联邦基金有效利率,M,%,137,137,1.0,1,1,2015-01,2026-05,True
US_HOUSING_STARTS_M,美国新屋开工,M,thousands of units,137,137,1.0,1,1,2015-01,2026-05,True
US_NONFARM_PAYROLLS_M,美国非农就业人数,M,thousands of persons,137,137,1.0,1,1,2015-01,2026-05,True
US_PPI_INDEX_M,美国生产者价格指数,M,index 1982=100,137,137,1.0,1,1,2015-01,2026-05,True
US_RETAIL_SALES_M,美国零售销售额,M,millions of dollars,137,137,1.0,1,1,2015-01,2026-05,True
US_CORE_CPI_INDEX_M,美国核心CPI指数,M,index 1982-1984=100,137,136,0.9927,1,1,2015-01,2026-05,True
US_INDUSTRIAL_PRODUCTION_M,美国工业生产指数,M,index 2017=100,136,136,1.0,1,1,2015-01,2026-04,True
US_M2_MONEY_STOCK_M,美国M2货币存量,M,billions of dollars,136,136,1.0,1,1,2015-01,2026-04,True
US_CPI_INDEX_M,美国居民消费价格指数,M,index 1982-1984=100,136,135,0.9926,1,1,2015-01,2026-04,True
US_UNEMPLOYMENT_RATE_M,美国失业率,M,%,136,135,0.9926,1,1,2015-01,2026-04,True
CN_CPI_YOY_M,中国居民消费价格指数同比,M,%,12,12,1.0,1,1,2024-01,2024-12,True
CN_PPI_YOY_M,中国工业生产者出厂价格指数同比,M,%,12,12,1.0,1,1,2024-01,2024-12,True
CN_INDUSTRIAL_VALUE_ADDED_YOY_M,中国规模以上工业增加值同比,M,%,11,11,1.0,1,1,2024-02,2024-12,True
