country_code,indicator_code,date,value,source_organization,source_dataset,source_status,release_status,observation_type
AR,GOV_REVENUE_GDP_A,2028,32.229,IMF,World Economic Outlook,official,final,forecast
AR,GOV_REVENUE_GDP_A,2029,32.942,IMF,World Economic Outlook,official,final,forecast
AR,GOV_REVENUE_GDP_A,2030,33.287,IMF,World Economic Outlook,official,final,forecast
AR,GOV_REVENUE_GDP_A,2031,33.404,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_CAPITAL_FORMATION_GDP_A,2027,17.551,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_CAPITAL_FORMATION_GDP_A,2028,18.659,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_CAPITAL_FORMATION_GDP_A,2029,19.465,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_CAPITAL_FORMATION_GDP_A,2030,20.043,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_CAPITAL_FORMATION_GDP_A,2031,20.554,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_SAVINGS_GDP_A,2027,16.973,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_SAVINGS_GDP_A,2028,18.052,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_SAVINGS_GDP_A,2029,18.997,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_SAVINGS_GDP_A,2030,19.655,IMF,World Economic Outlook,official,final,forecast
AR,GROSS_SAVINGS_GDP_A,2031,20.218,IMF,World Economic Outlook,official,final,forecast
AR,POPULATION_TOTAL_A,2027,48428000.0,IMF,World Economic Outlook,official,final,forecast
AR,POPULATION_TOTAL_A,2028,48912000.0,IMF,World Economic Outlook,official,final,forecast
AR,POPULATION_TOTAL_A,2029,49401000.0,IMF,World Economic Outlook,official,final,forecast
AR,POPULATION_TOTAL_A,2030,49895000.0,IMF,World Economic Outlook,official,final,forecast
AR,POPULATION_TOTAL_A,2031,50394000.0,IMF,World Economic Outlook,official,final,forecast
AR,UNEMPLOYMENT_RATE_A,2027,6.875,IMF,World Economic Outlook,official,final,forecast
AR,UNEMPLOYMENT_RATE_A,2028,6.5,IMF,World Economic Outlook,official,final,forecast
AR,UNEMPLOYMENT_RATE_A,2029,6.5,IMF,World Economic Outlook,official,final,forecast
AR,UNEMPLOYMENT_RATE_A,2030,6.5,IMF,World Economic Outlook,official,final,forecast
AR,UNEMPLOYMENT_RATE_A,2031,6.5,IMF,World Economic Outlook,official,final,forecast
BR,CPI_YOY_A,2027,3.353,IMF,World Economic Outlook,official,final,forecast
BR,CPI_YOY_A,2028,2.996,IMF,World Economic Outlook,official,final,forecast
BR,CPI_YOY_A,2029,2.989,IMF,World Economic Outlook,official,final,forecast
BR,CPI_YOY_A,2030,3.0,IMF,World Economic Outlook,official,final,forecast
BR,CPI_YOY_A,2031,2.995,IMF,World Economic Outlook,official,final,forecast
BR,CURRENT_ACCOUNT_GDP_A,2027,-2.406,IMF,World Economic Outlook,official,final,forecast
BR,CURRENT_ACCOUNT_GDP_A,2028,-2.042,IMF,World Economic Outlook,official,final,forecast
BR,CURRENT_ACCOUNT_GDP_A,2029,-1.866,IMF,World Economic Outlook,official,final,forecast
BR,CURRENT_ACCOUNT_GDP_A,2030,-1.95,IMF,World Economic Outlook,official,final,forecast
BR,CURRENT_ACCOUNT_GDP_A,2031,-1.846,IMF,World Economic Outlook,official,final,forecast
BR,GDP_CURRENT_LCU_A,2027,14450326000000.0,IMF,World Economic Outlook,official,final,forecast
BR,GDP_CURRENT_LCU_A,2028,15322670000000.0,IMF,World Economic Outlook,official,final,forecast
BR,GDP_CURRENT_LCU_A,2029,16271585000000.0,IMF,World Economic Outlook,official,final,forecast
BR,GDP_CURRENT_LCU_A,2030,17279264000000.0,IMF,World Economic Outlook,official,final,forecast
BR,GDP_CURRENT_LCU_A,2031,18349348000000.0,IMF,World Economic Outlook,official,final,forecast
BR,GDP_DEFLATOR_INDEX_A,2027,1013.022,IMF,World Economic Outlook,official,final,forecast
BR,GDP_DEFLATOR_INDEX_A,2028,1049.49,IMF,World Economic Outlook,official,final,forecast
BR,GDP_DEFLATOR_INDEX_A,2029,1087.268,IMF,World Economic Outlook,official,final,forecast
BR,GDP_DEFLATOR_INDEX_A,2030,1126.405,IMF,World Economic Outlook,official,final,forecast
BR,GDP_DEFLATOR_INDEX_A,2031,1166.952,IMF,World Economic Outlook,official,final,forecast
BR,GDP_NOMINAL_USD_A,2027,2766558000000.0,IMF,World Economic Outlook,official,final,forecast
BR,GDP_NOMINAL_USD_A,2028,2879420000000.0,IMF,World Economic Outlook,official,final,forecast
BR,GDP_NOMINAL_USD_A,2029,3037171000000.0,IMF,World Economic Outlook,official,final,forecast
BR,GDP_NOMINAL_USD_A,2030,3203508000000.0,IMF,World Economic Outlook,official,final,forecast
BR,GDP_NOMINAL_USD_A,2031,3378877000000.0,IMF,World Economic Outlook,official,final,forecast
BR,GDP_PER_CAPITA_USD_A,2027,12882.254,IMF,World Economic Outlook,official,final,forecast
BR,GDP_PER_CAPITA_USD_A,2028,13368.879,IMF,World Economic Outlook,official,final,forecast
BR,GDP_PER_CAPITA_USD_A,2029,14063.335,IMF,World Economic Outlook,official,final,forecast
BR,GDP_PER_CAPITA_USD_A,2030,14796.844,IMF,World Economic Outlook,official,final,forecast
BR,GDP_PER_CAPITA_USD_A,2031,15571.673,IMF,World Economic Outlook,official,final,forecast
BR,GDP_REAL_GROWTH_YOY_A,2027,1.961,IMF,World Economic Outlook,official,final,forecast
BR,GDP_REAL_GROWTH_YOY_A,2028,2.352,IMF,World Economic Outlook,official,final,forecast
BR,GDP_REAL_GROWTH_YOY_A,2029,2.503,IMF,World Economic Outlook,official,final,forecast
BR,GDP_REAL_GROWTH_YOY_A,2030,2.503,IMF,World Economic Outlook,official,final,forecast
BR,GDP_REAL_GROWTH_YOY_A,2031,2.503,IMF,World Economic Outlook,official,final,forecast
BR,GDP_REAL_LCU_A,2027,1426457000000.0,IMF,World Economic Outlook,official,final,forecast
BR,GDP_REAL_LCU_A,2028,1460011000000.0,IMF,World Economic Outlook,official,final,forecast
BR,GDP_REAL_LCU_A,2029,1496557000000.0,IMF,World Economic Outlook,official,final,forecast
BR,GDP_REAL_LCU_A,2030,1534018000000.0,IMF,World Economic Outlook,official,final,forecast
BR,GDP_REAL_LCU_A,2031,1572417000000.0,IMF,World Economic Outlook,official,final,forecast
BR,GOV_DEBT_GDP_A,2027,99.997,IMF,World Economic Outlook,official,final,forecast
BR,GOV_DEBT_GDP_A,2028,102.288,IMF,World Economic Outlook,official,final,forecast
BR,GOV_DEBT_GDP_A,2029,104.142,IMF,World Economic Outlook,official,final,forecast
BR,GOV_DEBT_GDP_A,2030,105.505,IMF,World Economic Outlook,official,final,forecast
BR,GOV_DEBT_GDP_A,2031,106.52,IMF,World Economic Outlook,official,final,forecast
BR,GOV_EXPENSE_GDP_A,2027,46.69,IMF,World Economic Outlook,official,final,forecast
BR,GOV_EXPENSE_GDP_A,2028,46.222,IMF,World Economic Outlook,official,final,forecast
BR,GOV_EXPENSE_GDP_A,2029,46.106,IMF,World Economic Outlook,official,final,forecast
BR,GOV_EXPENSE_GDP_A,2030,46.143,IMF,World Economic Outlook,official,final,forecast
BR,GOV_EXPENSE_GDP_A,2031,46.194,IMF,World Economic Outlook,official,final,forecast
BR,GOV_NET_LENDING_GDP_A,2027,-6.871,IMF,World Economic Outlook,official,final,forecast
BR,GOV_NET_LENDING_GDP_A,2028,-6.169,IMF,World Economic Outlook,official,final,forecast
BR,GOV_NET_LENDING_GDP_A,2029,-6.041,IMF,World Economic Outlook,official,final,forecast
BR,GOV_NET_LENDING_GDP_A,2030,-6.086,IMF,World Economic Outlook,official,final,forecast
BR,GOV_NET_LENDING_GDP_A,2031,-6.109,IMF,World Economic Outlook,official,final,forecast
BR,GOV_REVENUE_GDP_A,2027,39.818,IMF,World Economic Outlook,official,final,forecast
BR,GOV_REVENUE_GDP_A,2028,40.052,IMF,World Economic Outlook,official,final,forecast
BR,GOV_REVENUE_GDP_A,2029,40.065,IMF,World Economic Outlook,official,final,forecast
BR,GOV_REVENUE_GDP_A,2030,40.057,IMF,World Economic Outlook,official,final,forecast
BR,GOV_REVENUE_GDP_A,2031,40.086,IMF,World Economic Outlook,official,final,forecast
BR,GROSS_CAPITAL_FORMATION_GDP_A,2027,16.746,IMF,World Economic Outlook,official,final,forecast
BR,GROSS_CAPITAL_FORMATION_GDP_A,2028,16.676,IMF,World Economic Outlook,official,final,forecast
BR,GROSS_CAPITAL_FORMATION_GDP_A,2029,16.606,IMF,World Economic Outlook,official,final,forecast
BR,GROSS_CAPITAL_FORMATION_GDP_A,2030,16.543,IMF,World Economic Outlook,official,final,forecast
BR,GROSS_CAPITAL_FORMATION_GDP_A,2031,16.48,IMF,World Economic Outlook,official,final,forecast
BR,GROSS_SAVINGS_GDP_A,2027,14.34,IMF,World Economic Outlook,official,final,forecast
BR,GROSS_SAVINGS_GDP_A,2028,14.634,IMF,World Economic Outlook,official,final,forecast
BR,GROSS_SAVINGS_GDP_A,2029,14.74,IMF,World Economic Outlook,official,final,forecast
BR,GROSS_SAVINGS_GDP_A,2030,14.592,IMF,World Economic Outlook,official,final,forecast
BR,GROSS_SAVINGS_GDP_A,2031,14.634,IMF,World Economic Outlook,official,final,forecast
BR,POPULATION_TOTAL_A,2027,214757000.0,IMF,World Economic Outlook,official,final,forecast
BR,POPULATION_TOTAL_A,2028,215382000.0,IMF,World Economic Outlook,official,final,forecast
BR,POPULATION_TOTAL_A,2029,215964000.0,IMF,World Economic Outlook,official,final,forecast
BR,POPULATION_TOTAL_A,2030,216499000.0,IMF,World Economic Outlook,official,final,forecast
BR,POPULATION_TOTAL_A,2031,216989000.0,IMF,World Economic Outlook,official,final,forecast
BR,UNEMPLOYMENT_RATE_A,2027,7.381,IMF,World Economic Outlook,official,final,forecast
BR,UNEMPLOYMENT_RATE_A,2028,7.397,IMF,World Economic Outlook,official,final,forecast
