source,source_dataset,source_indicator_code,indicator_code,standard_unit,standard_frequency,standard_seasonal_adjustment,standard_calculation,transform_rule,mapping_status,mapping_version,reviewed_by,semantic_signature
IMF,World Economic Outlook,NGSD_NGDP,GROSS_SAVINGS_GDP_A,% of GDP,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|ratio_gdp|not_applicable|not_specified|NA|A|NSA
World Bank,World Development Indicators,NE.GDI.TOTL.ZS,GROSS_CAPITAL_FORMATION_GDP_A,% of GDP,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|ratio_gdp|not_applicable|not_specified|NA|A|NSA
IMF,World Economic Outlook,NID_NGDP,GROSS_CAPITAL_FORMATION_GDP_A,% of GDP,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|ratio_gdp|not_applicable|not_specified|NA|A|NSA
World Bank,World Development Indicators,GC.REV.XGRT.GD.ZS,GOV_REVENUE_GDP_A,% of GDP,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|ratio_gdp|not_applicable|flow|NA|A|NSA
IMF,World Economic Outlook,GGR_NGDP,GOV_REVENUE_GDP_A,% of GDP,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|ratio_gdp|not_applicable|flow|NA|A|NSA
World Bank,World Development Indicators,GC.XPN.TOTL.GD.ZS,GOV_EXPENSE_GDP_A,% of GDP,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|ratio_gdp|not_applicable|flow|NA|A|NSA
IMF,World Economic Outlook,GGX_NGDP,GOV_EXPENSE_GDP_A,% of GDP,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|ratio_gdp|not_applicable|flow|NA|A|NSA
World Bank,World Development Indicators,GC.NLD.TOTL.GD.ZS,GOV_NET_LENDING_GDP_A,% of GDP,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|ratio_gdp|not_applicable|not_specified|NA|A|NSA
IMF,World Economic Outlook,GGXCNL_NGDP,GOV_NET_LENDING_GDP_A,% of GDP,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|ratio_gdp|not_applicable|not_specified|NA|A|NSA
World Bank,World Development Indicators,SP.POP.TOTL,POPULATION_TOTAL_A,persons,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,population_social|population|level|persons|not_applicable|stock|NA|A|NSA
IMF,World Economic Outlook,LP,POPULATION_TOTAL_A,persons,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,population_social|population|level|persons|not_applicable|stock|NA|A|NSA
World Bank,World Development Indicators,SP.POP.GROW,POPULATION_GROWTH_A,%,A,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,population_social|population|year_on_year_growth|percent|not_applicable|stock|NA|A|NSA
World Bank,World Development Indicators,SP.URB.TOTL.IN.ZS,URBAN_POPULATION_RATE_A,% of total population,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,population_social|population|rate|percent|not_applicable|stock|NA|A|NSA
World Bank,World Development Indicators,NY.GNP.MKTP.CD,GNI_CURRENT_USD_A,current USD,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gni|level|currency|current_price|not_specified|USD|A|NSA
World Bank,World Development Indicators,NY.GNP.PCAP.CD,GNI_PER_CAPITA_USD_A,current USD,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gni|level|currency|current_price|not_specified|USD|A|NSA
World Bank,World Development Indicators,BX.KLT.DINV.WD.GD.ZS,FDI_NET_INFLOWS_GDP_A,% of GDP,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|ratio_gdp|not_applicable|flow|NA|A|NSA
World Bank,World Development Indicators,NE.TRD.GNFS.ZS,TRADE_GDP_A,% of GDP,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|ratio_gdp|not_applicable|not_specified|NA|A|NSA
World Bank,World Development Indicators,NE.EXP.GNFS.KD.ZG,EXPORTS_GROWTH_A,%,A,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,external_sector|exports|year_on_year_growth|percent|constant_price|flow|NA|A|NSA
World Bank,World Development Indicators,NE.IMP.GNFS.KD.ZG,IMPORTS_GROWTH_A,%,A,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,external_sector|imports|year_on_year_growth|percent|constant_price|flow|NA|A|NSA
World Bank,World Development Indicators,NY.GDP.DEFL.KD.ZG,GDP_DEFLATOR_GROWTH_A,%,A,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|year_on_year_growth|percent|not_applicable|not_specified|NA|A|NSA
World Bank,World Development Indicators,FM.LBL.BMNY.GD.ZS,BROAD_MONEY_GDP_A,% of GDP,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|ratio_gdp|not_applicable|stock|NA|A|NSA
World Bank,World Development Indicators,FS.AST.PRVT.GD.ZS,DOMESTIC_CREDIT_PRIVATE_GDP_A,% of GDP,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|ratio_gdp|not_applicable|not_specified|NA|A|NSA
World Bank,World Development Indicators,GC.TAX.TOTL.GD.ZS,TAX_REVENUE_GDP_A,% of GDP,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|ratio_gdp|not_applicable|flow|NA|A|NSA
World Bank,World Development Indicators,MS.MIL.XPND.GD.ZS,MILITARY_EXPENDITURE_GDP_A,% of GDP,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,national_accounts|gdp|level|ratio_gdp|not_applicable|not_specified|NA|A|NSA
World Bank,World Development Indicators,EG.USE.PCAP.KG.OE,ENERGY_USE_PER_CAPITA_A,kg of oil equivalent per capita,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,energy|energy_use_per|level|physical|not_applicable|not_specified|NA|A|NSA
World Bank,World Development Indicators,EG.USE.ELEC.KH.PC,ELECTRIC_POWER_CONSUMPTION_A,kWh per capita,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,energy|electric_power_consumption|level|physical|not_applicable|not_specified|NA|A|NSA
World Bank,World Development Indicators,IT.NET.USER.ZS,INTERNET_USERS_RATE_A,% of population,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,population_social|internet_users_rate|rate|percent|not_applicable|not_specified|NA|A|NSA
World Bank,World Development Indicators,SP.DYN.LE00.IN,LIFE_EXPECTANCY_A,years,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,population_social|life_expectancy|level|years|not_applicable|not_specified|NA|A|NSA
World Bank,World Development Indicators,SE.TER.ENRR,SCHOOL_ENROLLMENT_TERTIARY_A,% gross,A,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,population_social|school_enrollment_tertiary|level|percent|not_applicable|not_specified|NA|A|NSA
